time,T_in,v_flow,T_Node 1,T_Node 2,T Pipe 1,m_flow Pipe 1,dT 1_2,T_ambient
0,17.9,1.049,17.9,18.2,18.2,2.269,-0.3000000000000007,18
1,17.9,1.049,17.9,18.545215311743544,18.545215311743544,2.269,-0.6452153117435451,18
2,17.9,1.049,17.9,18.545215311743544,18.545215311743544,2.269,-0.6452153117435451,18
3,17.9,1.049,17.9,18.545215311743544,18.545215311743544,2.269,-0.6452153117435451,18
4,18.7,1.049,18.7,18.545215311743544,18.545215311743544,2.269,0.15478468825645564,18
5,19.5,1.049,19.5,18.545215311743544,18.545215311743544,2.269,0.9547846882564563,18
6,20.4,1.049,20.4,18.545215311743544,18.545215311743544,2.269,1.854784688256455,18
7,22.1,1.049,22.1,18.545215311743544,18.545215311743544,2.269,3.5547846882564578,18
8,23.8,1.049,23.8,18.545215311743544,18.545215311743544,2.269,5.254784688256457,18
9,25.5,1.049,25.5,18.545215311743544,18.545215311743544,2.269,6.954784688256456,18
10,26.6,1.049,26.6,18.545215311743544,18.545215311743544,2.269,8.054784688256458,18
11,27.7,1.049,27.7,18.545215311743544,18.545215311743544,2.269,9.154784688256456,18
12,28.7,1.049,28.7,18.545215311743544,18.545215311743544,2.269,10.154784688256456,18
13,29.8,1.049,29.8,18.545215311743544,18.545215311743544,2.269,11.254784688256457,18
14,30.7,1.049,30.7,18.545215311743544,18.545215311743544,2.269,12.154784688256456,18
15,31.4,1.049,31.4,18.545215311743544,18.545215311743544,2.269,12.854784688256455,18
16,32.1,1.049,32.1,18.545215311743544,18.545215311743544,2.269,13.554784688256458,18
17,32.8,1.049,32.8,18.545215311743544,18.545215311743544,2.269,14.254784688256454,18
18,33.3,1.049,33.3,18.545215311743544,18.545215311743544,2.269,14.754784688256454,18
19,33.8,1.049,33.8,18.545215311743544,18.545215311743544,2.269,15.254784688256454,18
20,34.3,1.049,34.3,18.45883349703609,18.45883349703609,2.269,15.841166502963908,18
21,34.6,1.049,34.6,18.45883349703609,18.45883349703609,2.269,16.141166502963912,18
22,34.9,1.049,34.9,18.45883349703609,18.45883349703609,2.269,16.44116650296391,18
23,35.2,1.049,35.2,18.45883349703609,18.45883349703609,2.269,16.741166502963914,18
24,35.5,1.049,35.5,18.45883349703609,18.45883349703609,2.269,17.04116650296391,18
25,35.8,1.049,35.8,18.45883349703609,18.45883349703609,2.269,17.341166502963908,18
26,36.0,1.049,36.0,18.372451682328638,18.372451682328638,2.269,17.627548317671362,18
27,36.2,1.049,36.2,18.372451682328638,18.372451682328638,2.269,17.827548317671365,18
28,36.4,1.049,36.4,18.372451682328638,18.372451682328638,2.269,18.02754831767136,18
29,36.6,1.049,36.6,18.372451682328638,18.372451682328638,2.269,18.227548317671364,18
30,36.8,1.049,36.8,18.372451682328638,18.372451682328638,2.269,18.42754831767136,18
31,36.9,1.049,36.9,18.372451682328638,18.372451682328638,2.269,18.52754831767136,18
32,37.0,1.049,37.0,18.372451682328638,18.372451682328638,2.269,18.627548317671362,18
