time,T_in,v_flow,T_Node 1,T_Node 2,T Pipe 1,m_flow Pipe 1,dT 1_2,T_ambient
0,17.9,0.115,17.9,15.0,15.0,0.249,2.8999999999999986,18
30,18.1,0.115,18.1,15.199599920449856,15.199599920449856,0.249,2.9004000795501454,18
60,18.4,0.115,18.4,15.199599920449856,15.199599920449856,0.249,3.2004000795501426,18
90,18.6,0.115,18.6,15.199599920449856,15.199599920449856,0.249,3.4004000795501454,18
120,18.8,0.115,18.8,15.199599920449856,15.199599920449856,0.249,3.6004000795501447,18
150,19.0,0.115,19.0,15.199599920449856,15.199599920449856,0.249,3.800400079550144,18
180,19.2,0.115,19.2,15.199599920449856,15.199599920449856,0.249,4.000400079550143,18
210,19.3,0.115,19.3,15.199599920449856,15.199599920449856,0.249,4.100400079550145,18
240,19.5,0.115,19.5,15.199599920449856,15.199599920449856,0.249,4.300400079550144,18
270,19.7,0.115,19.7,15.199599920449856,15.199599920449856,0.249,4.500400079550143,18
300,19.9,0.115,19.9,15.199599920449856,15.199599920449856,0.249,4.700400079550143,18
330,20.1,0.115,20.1,15.894202457874272,15.894202457874272,0.249,4.20579754212573,18
360,20.3,0.115,20.3,16.230409685550736,16.230409685550736,0.249,4.069590314449265,18
390,20.4,0.115,20.4,16.322148127657112,16.322148127657112,0.249,4.077851872342887,18
420,20.6,0.115,20.6,16.399876261728362,16.399876261728362,0.249,4.200123738271639,18
450,20.8,0.115,20.8,16.467662892199414,16.467662892199414,0.249,4.332337107800587,18
480,21.0,0.115,21.0,16.53544952267046,16.53544952267046,0.249,4.464550477329539,18
510,21.1,0.115,21.1,16.603236153141513,16.603236153141513,0.249,4.496763846858489,18
540,21.3,0.115,21.3,16.647070971977236,16.647070971977236,0.249,4.652929028022765,18
570,21.5,0.115,21.5,16.704916098848095,16.704916098848095,0.249,4.795083901151905,18
600,21.7,0.115,21.7,16.77270272931914,16.77270272931914,0.249,4.92729727068086,18
630,21.9,0.115,21.9,16.84048935979019,16.84048935979019,0.249,5.059510640209808,18
660,22.0,0.115,22.0,16.908275990261238,16.908275990261238,0.249,5.091724009738762,18
690,22.2,0.115,22.2,16.97606262073229,16.97606262073229,0.249,5.22393737926771,18
720,22.3,0.115,22.3,17.019897439568016,17.019897439568016,0.249,5.280102560431985,18
750,22.5,0.115,22.5,17.077742566438868,17.077742566438868,0.249,5.422257433561132,18
780,22.7,0.115,22.7,17.14552919690992,17.14552919690992,0.249,5.55447080309008,18
810,22.8,0.115,22.8,17.21331582738097,17.21331582738097,0.249,5.58668417261903,18
840,23.0,0.115,23.0,17.257150646216694,17.257150646216694,0.249,5.742849353783306,18
870,23.1,0.115,23.1,17.314995773087542,17.314995773087542,0.249,5.785004226912459,18
900,23.3,0.115,23.3,17.382782403558593,17.382782403558593,0.249,5.917217596441407,18
930,23.4,0.115,23.4,17.450569034029645,17.450569034029645,0.249,5.949430965970354,18
960,23.6,0.115,23.6,17.518355664500696,17.518355664500696,0.249,6.0816443354993055,18
990,23.7,0.115,23.7,17.562190483336423,17.562190483336423,0.249,6.137809516663577,18
1020,23.9,0.115,23.9,17.620035610207275,17.620035610207275,0.249,6.279964389792724,18
1050,24.0,0.115,24.0,17.663870429042998,17.663870429042998,0.249,6.336129570957002,18
1080,24.1,0.115,24.1,17.721715555913846,17.721715555913846,0.249,6.378284444086155,18
1110,24.3,0.115,24.3,17.789502186384897,17.789502186384897,0.249,6.510497813615103,18
1140,24.4,0.115,24.4,17.83333700522062,17.83333700522062,0.249,6.566662994779378,18
1170,24.5,0.115,24.5,17.89118213209147,17.89118213209147,0.249,6.608817867908531,18
1200,24.7,0.115,24.7,17.9350169509272,17.9350169509272,0.249,6.7649830490728,18
1230,24.8,0.115,24.8,17.99286207779805,17.99286207779805,0.249,6.8071379222019495,18
1260,24.9,0.115,24.9,18.036696896633774,18.036696896633774,0.249,6.863303103366224,18
1290,25.0,0.115,25.0,18.094542023504623,18.094542023504623,0.249,6.905457976495377,18
1320,25.2,0.115,25.2,18.138376842340353,18.138376842340353,0.249,7.061623157659646,18
1350,25.3,0.115,25.3,18.262281251525437,18.262281251525437,0.249,7.037718748474564,18
1380,25.4,0.115,25.4,18.306116070361163,18.306116070361163,0.249,7.093883929638835,18
1410,25.5,0.115,25.5,18.340009385596687,18.340009385596687,0.249,7.159990614403313,18
