time,T_in,v_flow,T_Node 1,T_Node 2,T_HEX 1,T pipe in HEX 1,m_flow pipe in HEX 1,T pipe out HEX 1,m_flow pipe out HEX 1,dT 1_1,dT 1_2,T_ambient
0,65.0,2.0,65.0,20.0,20.0,20.0,4.326,20.0,4.326,45.0,0.0,20
60,65.0,2.0,65.0,64.36387089473283,64.67401214931348,64.67401214931348,4.326,64.36387089473283,4.326,0.32598785068651637,0.3101412545806568,20
120,65.0,2.0,65.0,64.97060765827135,64.99298301830363,64.99298301830363,4.326,64.97060765827135,4.326,0.007016981696366997,0.02237536003228513,20
180,65.0,2.0,65.0,64.99030128236876,64.99526045904311,64.99526045904311,4.326,64.99030128236876,4.326,0.004739540956890664,0.004959176674347532,20
240,65.0,2.0,65.0,64.9905515750383,64.99527671988955,64.99527671988955,4.326,64.9905515750383,4.326,0.004723280110454198,0.004725144851249752,20
300,65.0,2.0,65.0,64.9905541452368,64.9952768359914,64.9952768359914,4.326,64.9905541452368,4.326,0.004723164008595404,0.004722690754604741,20
360,65.0,2.0,65.0,64.99055416917935,64.99527683682038,64.99527683682038,4.326,64.99055416917935,4.326,0.004723163179619405,0.00472266764103324,20
420,65.0,2.0,65.0,64.99055416939024,64.99527683682629,64.99527683682629,4.326,64.99055416939024,4.326,0.0047231631737076896,0.004722667436055872,20
480,65.0,2.0,65.0,64.990554169392,64.99527683682633,64.99527683682633,4.326,64.990554169392,4.326,0.004723163173665057,0.004722667434336358,20
540,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
600,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
660,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
720,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
780,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
840,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
900,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
960,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
1020,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
1080,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
1140,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
1200,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
1260,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
1320,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
1380,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
1440,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
1500,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
1560,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
1620,65.0,2.0,65.0,64.99055416939203,64.99527683682633,64.99527683682633,4.326,64.99055416939203,4.326,0.004723163173665057,0.004722667434307937,20
