theta_1,cost
6.000000000000000000e+01,1.780894267077193547e+02
6.026315789473684248e+01,1.647162217865059120e+02
6.052631578947368496e+01,1.520552120723521625e+02
6.078947368421052744e+01,1.401321843656298540e+02
6.105263157894736992e+01,1.289272984491914258e+02
6.131578947368421240e+01,1.184599994338625777e+02
6.157894736842105488e+01,1.086935163126148467e+02
6.184210526315789735e+01,9.963333640632477284e+01
6.210526315789473983e+01,9.127679348295311001e+01
6.236842105263157521e+01,8.362320852302231344e+01
6.263157894736841769e+01,7.666057111320000672e+01
6.289473684210526017e+01,7.040309826992078968e+01
6.315789473684210265e+01,6.483869248562052690e+01
6.342105263157894512e+01,5.992401583775995277e+01
6.368421052631578760e+01,5.583850784026154201e+01
6.394736842105263008e+01,5.240591584947426895e+01
6.421052631578947967e+01,4.969797665893538152e+01
6.447368421052631504e+01,4.768096074047232236e+01
6.473684210526315042e+01,4.656302432476686448e+01
6.500000000000000000e+01,4.629951520127224995e+01
