theta_2,cost,term_Tr,term_Ts,term_dTs,regularization,termTr_COP,termTs_COP
6.000000000000000000e+01,3.518527585837017568e+02,2.029527107390053118e+02,1.410052027524515381e+02,5.579544672449098242e-01,7.336890625000000554e+00,6.309445453513497114e+08,4.519502340888888836e+08
6.052631578947368496e+01,3.481146341350279840e+02,1.991405361576711073e+02,1.404111302337370546e+02,1.219733628315115226e+00,7.343234115304709597e+00,6.133627903351948261e+08,4.508392249018388987e+08
6.105263157894736992e+01,3.475465593842092176e+02,1.955415547460635821e+02,1.398804095627048412e+02,4.774962068169333662e+00,7.349633007271468621e+00,5.970423786442879438e+08,4.499074202420595884e+08
6.157894736842105488e+01,3.492371883661368202e+02,1.918767503954386200e+02,1.393040077152020615e+02,1.070034295459584683e+01,7.356087300900277626e+00,5.805533220890282393e+08,4.488160923878101707e+08
6.210526315789473983e+01,3.534978369623565868e+02,1.883791065727661191e+02,1.387602571978061121e+02,1.899587619559320117e+01,7.362596996191135723e+00,5.649919345146923065e+08,4.478094815404335260e+08
6.263157894736841769e+01,3.600799455043672879e+02,1.848603567568972039e+02,1.381888648631651222e+02,2.966156179116091351e+01,7.369162093144044690e+00,5.494003398576320410e+08,4.466994187361131310e+08
6.315789473684210265e+01,3.692725884303301314e+02,1.815499787914328351e+02,1.376494273058386852e+02,4.269739974129960558e+01,7.375782591759002749e+00,5.348967737064915895e+08,4.456737123500469327e+08
6.368421052631578760e+01,3.810939030597760393e+02,1.784544109626937427e+02,1.371536435590378176e+02,5.810339004600851354e+01,7.382458492036011677e+00,5.214704547464875579e+08,4.447711568309107423e+08
6.421052631578947967e+01,3.955374802196183168e+02,1.755714088698681792e+02,1.366973488504865202e+02,7.587953270528853977e+01,7.389189793975069698e+00,5.091378347743955255e+08,4.439794011338002682e+08
6.473684210526315042e+01,4.126019584594524758e+02,1.728916296572599549e+02,1.362885245854780578e+02,9.602582771913833426e+01,7.395976497576177700e+00,4.977928867626308203e+08,4.433252787268130779e+08
6.526315789473683537e+01,4.322715907014751906e+02,1.704086380994144463e+02,1.359178589116617673e+02,1.185422750875596734e+02,7.402818602839335682e+00,4.874455922207485437e+08,4.427795972942698002e+08
6.578947368421052033e+01,4.545580263271582453e+02,1.681239510223962554e+02,1.355954843844465074e+02,1.434288748105509512e+02,7.409716109764543646e+00,4.780600437943156958e+08,4.423762191481295228e+08
6.631578947368420529e+01,4.793815795139664715e+02,1.659785564135814013e+02,1.353007271939196414e+02,1.706856268881136316e+02,7.416669018351800702e+00,4.693752910005960464e+08,4.420501480406755209e+08
6.684210526315789025e+01,5.067657586414335356e+02,1.639868071916945951e+02,1.350427428008917445e+02,2.003125313202460802e+02,7.423677328601108627e+00,4.614135927416468263e+08,4.418319069909694195e+08
6.736842105263157521e+01,5.366766076976339264e+02,1.621217504094098558e+02,1.348145281407615812e+02,2.323095881069500592e+02,7.430741040512465645e+00,4.540642627529972792e+08,4.416999538258816600e+08
6.789473684210526017e+01,5.690723846441487694e+02,1.603527434935191991e+02,1.346049837483188014e+02,2.666767972482247728e+02,7.437860154085872644e+00,4.472137024392219782e+08,4.416181729586814642e+08
6.842105263157894512e+01,6.040065764840674092e+02,1.587189577987294058e+02,1.344284252719475319e+02,3.034141587440690842e+02,7.445034669321330512e+00,4.409764774927769303e+08,4.416342542551069856e+08
6.894736842105263008e+01,6.413925356884305984e+02,1.571525396914343560e+02,1.342660588162922579e+02,3.425216725944851532e+02,7.452264586218836584e+00,4.350769639582610130e+08,4.416874725568298101e+08
6.947368421052631504e+01,6.813252448806297252e+02,1.557243424179808358e+02,1.341420137583998553e+02,3.839993387994706495e+02,7.459549904778393525e+00,4.297392992861037850e+08,4.418577316190127134e+08
7.000000000000000000e+01,7.236843406969409216e+02,1.543434753567445341e+02,1.340268173561683511e+02,4.278471573590280173e+02,7.466890625000000448e+00,4.246248995883684754e+08,4.420496316594289541e+08
