theta_5,cost,term_Tr,term_Ts,term_dTs,regularization
3.000000000000000000e+01,7.447395123910982875e+02,1.606737955586556836e+02,1.302730918324420770e+02,4.469851250000004939e+02,6.807500000000000995e+00
3.131578947368421240e+01,1.117915684303288344e+03,1.613473214981711692e+02,1.307361641347567343e+02,8.189440200000002505e+02,6.888178670360111333e+00
3.263157894736842479e+01,5.971930872463152582e+02,1.617353983092927194e+02,1.311106489924245579e+02,2.973747199999997406e+02,6.972319944598338815e+00
3.394736842105263008e+01,4.175329567243052793e+02,1.614434803086543582e+02,1.311744275929360697e+02,1.178551250000001858e+02,7.059923822714681663e+00
3.526315789473684248e+01,3.478929471365672725e+02,1.601678253601178881e+02,1.314643514717402297e+02,4.910978000000000776e+01,7.150990304709141654e+00
3.657894736842105488e+01,3.448425188008451983e+02,1.646019079411911150e+02,1.333737855646760977e+02,3.962130590439633693e+01,7.245519390581717900e+00
3.789473684210526017e+01,3.518312332486361242e+02,1.696439971924129395e+02,1.351943861142506478e+02,3.964933886164017451e+01,7.343511080332410401e+00
3.921052631578947256e+01,3.563895242451952186e+02,1.728833907745930389e+02,1.364117850020258516e+02,3.964938309461510357e+01,7.444965373961219157e+00
4.052631578947368496e+01,3.589886301928263492e+02,1.747168649135957708e+02,1.371005771033661347e+02,3.962130590439633693e+01,7.549882271468145056e+00
4.184210526315789735e+01,3.622964582354009053e+02,1.776463384264576177e+02,1.373706297146514999e+02,3.962122832143856499e+01,7.658261772853186322e+00
4.315789473684210975e+01,4.113163002877602139e+02,1.817476283868872144e+02,1.382398480227566324e+02,8.355872000000003652e+01,7.770103878116344731e+00
4.447368421052631504e+01,3.748237983488402278e+02,1.871423347844003615e+02,1.401747490727859144e+02,3.962130590439633693e+01,7.885408587257618507e+00
4.578947368421052744e+01,3.873151024400132201e+02,1.962630383232895213e+02,1.434265823120503569e+02,3.962130590439633693e+01,8.004175900277008537e+00
4.710526315789473983e+01,4.058591925141880097e+02,2.071848098817821153e+02,1.477405968152314983e+02,4.280737999999985277e+01,8.126405817174516599e+00
4.842105263157894512e+01,4.372323268000549206e+02,2.200386332734248356e+02,1.523591151886800219e+02,5.658247999999990441e+01,8.252098337950139140e+00
4.973684210526315752e+01,4.387061515417625515e+02,2.333320694698344653e+02,1.561520086093230191e+02,4.084082000000119450e+01,8.381253462603877935e+00
5.105263157894736992e+01,4.622655397526073102e+02,2.516660988079863728e+02,1.614160497534460319e+02,4.066952000003919920e+01,8.513871191135734762e+00
5.236842105263158231e+01,4.959394183555863833e+02,2.784518061941175233e+02,1.691882000943220703e+02,3.964946054360102323e+01,8.649951523545707843e+00
5.368421052631579471e+01,5.445733775519187247e+02,3.161728421130738980e+02,1.799615804354100419e+02,3.964946054360102323e+01,8.789494459833797180e+00
5.500000000000000000e+01,6.106940985860837827e+02,3.678291198791716852e+02,1.942830181633111408e+02,3.964946054360102323e+01,8.932500000000000995e+00
